term,estimate,std.error,statistic,p.value
(Intercept),3.7689487043569083,0.06159146626805564,61.19270952170318,0
biomass,-0.10793276616241056,0.012662815631171036,-8.52359927729826,1.5467008937131865e-17
phlow,-0.8163963508385385,0.10287307297308121,-7.935957653876684,2.0887727514250844e-15
phmid,-0.3322876842014223,0.09220864785216534,-3.6036498955517344,3.137796515089649e-4
biomass:phlow,-0.15422519812740149,0.040085931210079445,-3.8473647355015714,1.1939515679622129e-4
biomass:phmid,-0.031089038782880343,0.02316972202316424,-1.341795933149248,0.17966217121799408
